id,display_name,phone,default_lat,default_lng,dietary_preference,allergen_note,created_at
cus_0001,Đặng Vy,0914289609,10.783243,106.709768,vegetarian,,2024-05-04T12:00:00+07:00
cus_0002,Huỳnh Vy,0994409394,10.773083,106.68965,,,2024-09-05T12:00:00+07:00
cus_0003,Bùi Vy,0958166007,10.771456,106.69297,,gluten,2025-09-19T12:00:00+07:00
cus_0004,Bùi Nhi,0991552931,10.777518,106.695886,low_spicy,hải sản,2024-10-21T12:00:00+07:00
cus_0005,Huỳnh Khánh,0932391159,10.771615,106.689026,,sữa,2025-03-12T12:00:00+07:00
cus_0006,Bùi Khánh,0935755400,10.784739,106.699737,healthy,,2024-07-05T12:00:00+07:00
cus_0007,Đặng Khánh,0942658783,10.782623,106.712008,,,2024-02-04T12:00:00+07:00
cus_0008,Trần Duy,0992269660,10.767424,106.703357,,,2025-07-23T12:00:00+07:00
cus_0009,Nguyễn Ngọc,0999216926,10.771473,106.711723,healthy,sữa,2024-04-05T12:00:00+07:00
cus_0010,Trần Mai,0941337602,10.764243,106.689571,vegetarian,,2025-05-25T12:00:00+07:00
cus_0011,Bùi My,0962879431,10.770166,106.709114,vegetarian,trứng,2025-12-28T12:00:00+07:00
cus_0012,Bùi Khoa,0980083877,10.77491,106.692054,low_spicy,,2025-07-21T12:00:00+07:00
cus_0013,Đỗ Nhi,0964995907,10.769686,106.70976,,,2026-05-13T12:00:00+07:00
cus_0014,Nguyễn Phúc,0963192684,10.781124,106.705425,,,2024-05-02T12:00:00+07:00
cus_0015,Nguyễn Duy,0970133961,10.769157,106.694843,,gluten,2024-08-02T12:00:00+07:00
cus_0016,Hoàng Phúc,0984458748,10.76656,106.698417,high_protein,hải sản,2025-02-08T12:00:00+07:00
cus_0017,Phạm Minh,0962602635,10.774274,106.707371,,hải sản,2025-01-13T12:00:00+07:00
cus_0018,Phạm Bảo,0963915702,10.76401,106.702237,low_spicy,hải sản,2025-04-04T12:00:00+07:00
cus_0019,Huỳnh Khoa,0948857117,10.764814,106.707802,healthy,,2024-05-22T12:00:00+07:00
cus_0020,Võ Nhi,0997818299,10.787561,106.69336,high_protein,gluten,2025-09-07T12:00:00+07:00
cus_0021,Hoàng Huy,0954926112,10.777901,106.706941,healthy,sữa,2025-08-17T12:00:00+07:00
cus_0022,Võ Bảo,0943411474,10.783048,106.700569,vegetarian,,2025-10-21T12:00:00+07:00
cus_0023,Võ Minh,0956726647,10.772064,106.692571,,,2024-06-14T12:00:00+07:00
cus_0024,Lê Nhi,0944982943,10.775411,106.70929,,,2024-05-28T12:00:00+07:00
cus_0025,Trần Hà,0989118050,10.764493,106.698192,,,2025-12-08T12:00:00+07:00
cus_0026,Đặng My,0970289824,10.781519,106.689187,vegetarian,,2025-03-07T12:00:00+07:00
cus_0027,Đặng Nam,0957561124,10.769613,106.694515,,,2026-01-15T12:00:00+07:00
cus_0028,Bùi Khánh,0959081952,10.776961,106.700257,healthy,sữa,2025-05-25T12:00:00+07:00
cus_0029,Lê Nhi,0930237100,10.773282,106.696577,low_spicy,,2024-03-17T12:00:00+07:00
cus_0030,Đỗ Mai,0927798152,10.784247,106.696434,high_protein,trứng,2025-09-30T12:00:00+07:00
cus_0031,Bùi Thảo,0958913417,10.7843,106.692562,,hải sản,2025-09-09T12:00:00+07:00
cus_0032,Trần Huy,0985462873,10.764139,106.694956,,gluten,2026-01-14T12:00:00+07:00
cus_0033,Trần Vy,0936688909,10.773895,106.712288,vegetarian,hải sản,2025-04-26T12:00:00+07:00
cus_0034,Phạm Ngọc,0938218490,10.775022,106.699309,low_spicy,hải sản,2024-05-26T12:00:00+07:00
cus_0035,Võ Nam,0949498607,10.781746,106.690777,,,2025-05-12T12:00:00+07:00
cus_0036,Huỳnh Thảo,0928525250,10.774009,106.703628,vegetarian,gluten,2024-11-05T12:00:00+07:00
cus_0037,Đỗ Huy,0910886338,10.783574,106.696055,,,2025-08-31T12:00:00+07:00
cus_0038,Đặng Huy,0989377851,10.775191,106.712034,low_spicy,,2025-01-06T12:00:00+07:00
cus_0039,Huỳnh Phúc,0962520088,10.765594,106.69906,,sữa,2024-12-17T12:00:00+07:00
cus_0040,Huỳnh Khoa,0999029790,10.776507,106.704851,high_protein,gluten,2024-06-14T12:00:00+07:00
cus_0041,Hoàng Phúc,0956937035,10.776541,106.699323,,gluten,2024-06-02T12:00:00+07:00
cus_0042,Đỗ Minh,0953950272,10.787107,106.703473,vegetarian,sữa,2026-02-08T12:00:00+07:00
cus_0043,Phạm Vy,0949813474,10.782218,106.703959,low_spicy,hải sản,2025-09-11T12:00:00+07:00
cus_0044,Đặng Huy,0974564270,10.768754,106.691782,low_spicy,,2025-04-17T12:00:00+07:00
cus_0045,Huỳnh Hà,0983541022,10.784016,106.699145,low_spicy,sữa,2024-01-19T12:00:00+07:00
cus_0046,Lê Phúc,0931830695,10.786107,106.702072,high_protein,sữa,2024-06-02T12:00:00+07:00
cus_0047,Phạm Nam,0920280116,10.786816,106.709325,healthy,trứng,2025-12-23T12:00:00+07:00
cus_0048,Phạm Trang,0919643046,10.78609,106.708333,low_spicy,hải sản,2023-12-21T12:00:00+07:00
cus_0049,Hoàng Vy,0944187667,10.771737,106.706085,high_protein,,2026-05-10T12:00:00+07:00
cus_0050,Đặng Phúc,0924502828,10.769729,106.688982,,gluten,2025-03-04T12:00:00+07:00
cus_0051,Trần An,0966752672,10.783119,106.70061,,,2024-03-08T12:00:00+07:00
cus_0052,Đặng Huy,0964077223,10.76993,106.692096,vegetarian,gluten,2024-02-04T12:00:00+07:00
cus_0053,Đỗ Linh,0994407918,10.781205,106.704619,vegetarian,trứng,2025-01-17T12:00:00+07:00
cus_0054,Đặng Vy,0944040209,10.776999,106.700003,healthy,,2024-10-15T12:00:00+07:00
cus_0055,Trần An,0911313234,10.774149,106.707325,,hải sản,2025-08-03T12:00:00+07:00
cus_0056,Bùi Vy,0960696287,10.786911,106.702399,vegetarian,hải sản,2025-03-31T12:00:00+07:00
cus_0057,Hoàng Mai,0913306100,10.766587,106.691928,,trứng,2024-03-16T12:00:00+07:00
cus_0058,Phạm Khánh,0922400566,10.774132,106.712162,,sữa,2025-02-16T12:00:00+07:00
cus_0059,Trần An,0917296893,10.769091,106.708143,low_spicy,,2025-06-08T12:00:00+07:00
cus_0060,Nguyễn Vy,0982455024,10.770223,106.695288,low_spicy,gluten,2024-01-09T12:00:00+07:00
